gbifID	type	format	identifier	references	title	description	source	audience	created	creator	contributor	publisher	license	rightsHolder
3097775501	StillImage	image/jpeg	https://www.artsobservasjoner.no/MediaLibrary/2021/5/d4caee0b-f8ee-440c-b766-b2f61c942ea4_image.jpg										http://creativecommons.org/licenses/by/4.0/	Trond Sørhuus
3091519551	StillImage	image/jpeg	https://www.artsobservasjoner.no/MediaLibrary/2021/4/6a16ed78-fc54-4407-9154-f8aebdaebf8f_image.jpg										© All rights reserved	Arkadiusz Suchecki
3091515592	StillImage	image/jpeg	https://www.artsobservasjoner.no/MediaLibrary/2021/4/7f958d52-2c45-43c4-8f60-7d9a2dd7a759_image.jpg										© All rights reserved	Terje Håheim
3091490334	StillImage	image/jpeg	https://www.artsobservasjoner.no/MediaLibrary/2021/4/c5471da4-19da-4272-9ab9-914e1986d11a_image.jpg										© All rights reserved	John Apeland
3091490334	StillImage	image/jpeg	https://www.artsobservasjoner.no/MediaLibrary/2021/4/6e388088-817a-4f38-b079-cc2a516047cf_image.jpg										© All rights reserved	John Apeland
3091490318	StillImage	image/jpeg	https://www.artsobservasjoner.no/MediaLibrary/2021/4/1922bd30-eb40-4a5c-8db3-661fd03add3c_image.jpg										© All rights reserved	Tina Maria Brenden
3091484448	StillImage	image/jpeg	https://www.artsobservasjoner.no/MediaLibrary/2021/4/037c78bf-c2e9-4f1e-9ee7-23ac03f86675_image.jpg										© All rights reserved	Geir Eriksen
3091480485	StillImage	image/jpeg	https://www.artsobservasjoner.no/MediaLibrary/2021/4/39cdd4ef-b262-4efa-8029-27013304505a_image.jpg										© All rights reserved	Stig Nesbø
3091478601	StillImage	image/jpeg	https://www.artsobservasjoner.no/MediaLibrary/2021/4/ebbe4bb9-bd7c-4d21-a62b-df4301026f77_image.jpg										© All rights reserved	Eldar Eiksund
3091439423	StillImage	image/jpeg	https://www.artsobservasjoner.no/MediaLibrary/2021/4/59f6d2a0-4d29-49c4-ad20-ddc79043d60d_image.jpg										© All rights reserved	Tore Rausandaksel
3091401333	StillImage	image/jpeg	https://www.artsobservasjoner.no/MediaLibrary/2021/4/98b36c66-08d5-493f-9c71-d1971a311489_image.jpg										© All rights reserved	Dag Hovind
3091394441	StillImage	image/jpeg	https://www.artsobservasjoner.no/MediaLibrary/2021/4/257efc54-858d-42dc-9901-9d31396cf054_image.jpg										© All rights reserved	Kjell A. Kristiansen
3091369570	StillImage	image/jpeg	https://www.artsobservasjoner.no/MediaLibrary/2021/4/f4d8340b-d69a-4e1d-a4c8-45d7a935dcad_image.jpg										© All rights reserved	Anders Heien
3091337447	StillImage	image/jpeg	https://www.artsobservasjoner.no/MediaLibrary/2021/4/37d2e8ac-b23f-48aa-9737-3a2a3a580093_image.jpg										© All rights reserved	John Apeland
3091337447	StillImage	image/jpeg	https://www.artsobservasjoner.no/MediaLibrary/2021/4/b3b2109e-a8a3-4ab0-8e76-58a11290f009_image.jpg										© All rights reserved	John Apeland
3080171372	StillImage	image/jpeg	https://www.artsobservasjoner.no/MediaLibrary/2021/1/e91f8c1b-e89a-4dbe-a53e-ef62c7204ea6_image.jpg										© All rights reserved	Erik Fagervik Gaden
3080159601	StillImage	image/jpeg	https://www.artsobservasjoner.no/MediaLibrary/2021/4/d9b66c53-649c-432e-993e-a03f77dd95ee_image.jpg										© All rights reserved	Olav Strømsnes
3080159601	StillImage	image/jpeg	https://www.artsobservasjoner.no/MediaLibrary/2021/4/a189879c-50f5-4aff-89bd-e3338e879b34_image.jpg										© All rights reserved	Olav Strømsnes
3080159601	StillImage	image/jpeg	https://www.artsobservasjoner.no/MediaLibrary/2021/4/6e4f458c-4968-4fd9-b087-8cae7aae8aac_image.jpg										© All rights reserved	Olav Strømsnes
3080148420	StillImage	image/jpeg	https://www.artsobservasjoner.no/MediaLibrary/2021/4/a629cbba-74f6-4cb6-8b76-5c38a1b9ff05_image.jpg										© All rights reserved	Øyvind Nyvold Larsen
3080100436	StillImage	image/jpeg	https://www.artsobservasjoner.no/MediaLibrary/2021/5/766e5893-5841-4bb8-b93e-4e9a0965042d_image.jpg										© All rights reserved	Siri Rysstad
3080089464	StillImage	image/jpeg	https://www.artsobservasjoner.no/MediaLibrary/2021/4/3c5cd91b-469b-4408-901f-07e3722777c9_image.jpg										© All rights reserved	Monica Rønningstad
3080087382	StillImage	image/jpeg	https://www.artsobservasjoner.no/MediaLibrary/2021/4/4e9b6b30-204d-42f5-b80a-e4ca355a60ae_image.jpg										© All rights reserved	Tina Maria Brenden
3080060421	StillImage	image/jpeg	https://www.artsobservasjoner.no/MediaLibrary/2021/5/661ee89e-3065-4e60-a2dd-79069562f751_image.jpg										© All rights reserved	Siri Rysstad
3080060421	StillImage	image/jpeg	https://www.artsobservasjoner.no/MediaLibrary/2021/5/3a9052bc-b280-4a00-9791-2807be4890e3_image.jpg										© All rights reserved	Siri Rysstad
3080060421	StillImage	image/jpeg	https://www.artsobservasjoner.no/MediaLibrary/2021/5/7bcfd1f9-de57-4834-b4e1-a4e9ea340df0_image.jpg										© All rights reserved	Siri Rysstad
3080059332	StillImage	image/jpeg	https://www.artsobservasjoner.no/MediaLibrary/2021/4/711653b8-1b52-4c9d-8ddf-496595dd32ba_image.jpg										© All rights reserved	Anders Bjordal
